3.7;1.5;0.2;0.17
3.4;1.6;0.2;0.17
3.0;1.4;0.1;0.17
3.0;1.1;0.1;0.17
4.0;1.2;0.2;0.17
4.4;1.5;0.4;0.17
3.9;1.3;0.4;0.17
3.5;1.4;0.3;0.17
3.8;1.7;0.3;0.17
3.8;1.5;0.3;0.17
3.4;1.7;0.2;0.17
3.7;1.5;0.4;0.17
3.6;1.0;0.2;0.17
3.3;1.7;0.5;0.17
3.4;1.9;0.2;0.17
3.0;1.6;0.2;0.17
3.4;1.6;0.4;0.17
3.5;1.5;0.2;0.17
3.4;1.4;0.2;0.17
3.2;1.6;0.2;0.17
3.1;1.6;0.2;0.17
3.4;1.5;0.4;0.17
4.1;1.5;0.1;0.17
4.2;1.4;0.2;0.17
3.1;1.5;0.1;0.17
3.2;1.2;0.2;0.17
3.5;1.3;0.2;0.17
3.1;1.5;0.1;0.17
3.0;1.3;0.2;0.17
3.4;1.5;0.2;0.17
3.5;1.3;0.3;0.17
2.3;1.3;0.3;0.17
3.2;1.3;0.2;0.17
3.5;1.6;0.6;0.17
3.8;1.9;0.4;0.17
3.0;1.4;0.3;0.17
3.8;1.6;0.2;0.17
3.2;1.4;0.2;0.17
3.7;1.5;0.2;0.17
3.3;1.4;0.2;0.17
2.0;3.5;1.0;0.5
3.0;4.2;1.5;0.5
2.2;4.0;1.0;0.5
2.9;4.7;1.4;0.5
2.9;3.6;1.3;0.5
3.1;4.4;1.4;0.5
3.0;4.5;1.5;0.5
2.7;4.1;1.0;0.5
2.2;4.5;1.5;0.5
2.5;3.9;1.1;0.5
3.2;4.8;1.8;0.5
2.8;4.0;1.3;0.5
2.5;4.9;1.5;0.5
2.8;4.7;1.2;0.5
2.9;4.3;1.3;0.5
3.0;4.4;1.4;0.5
2.8;4.8;1.4;0.5
3.0;5.0;1.7;0.5
2.9;4.5;1.5;0.5
2.6;3.5;1.0;0.5
2.4;3.8;1.1;0.5
2.4;3.7;1.0;0.5
2.7;3.9;1.2;0.5
2.7;5.1;1.6;0.5
3.0;4.5;1.5;0.5
3.4;4.5;1.6;0.5
3.1;4.7;1.5;0.5
2.3;4.4;1.3;0.5
3.0;4.1;1.3;0.5
2.5;4.0;1.3;0.5
2.6;4.4;1.2;0.5
3.0;4.6;1.4;0.5
2.6;4.0;1.2;0.5
2.3;3.3;1.0;0.5
2.7;4.2;1.3;0.5
3.0;4.2;1.2;0.5
2.9;4.2;1.3;0.5
2.9;4.3;1.3;0.5
2.5;3.0;1.1;0.5
2.8;4.1;1.3;0.5
3.2;5.1;2.0;0.83
2.7;5.3;1.9;0.83
3.0;5.5;2.1;0.83
2.5;5.0;2.0;0.83
2.8;5.1;2.4;0.83
3.2;5.3;2.3;0.83
3.0;5.5;1.8;0.83
3.8;6.7;2.2;0.83
2.6;6.9;2.3;0.83
2.2;5.0;1.5;0.83
3.2;5.7;2.3;0.83
2.8;4.9;2.0;0.83
2.8;6.7;2.0;0.83
2.7;4.9;1.8;0.83
3.3;5.7;2.1;0.83
3.2;6.0;1.8;0.83
2.8;4.8;1.8;0.83
3.0;4.9;1.8;0.83
2.8;5.6;2.1;0.83
3.0;5.8;1.6;0.83
2.8;6.1;1.9;0.83
3.8;6.4;2.0;0.83
2.8;5.6;2.2;0.83
2.8;5.1;1.5;0.83
2.6;5.6;1.4;0.83
3.0;6.1;2.3;0.83
3.4;5.6;2.4;0.83
3.1;5.5;1.8;0.83
3.0;4.8;1.8;0.83
3.1;5.4;2.1;0.83
3.1;5.6;2.4;0.83
3.1;5.1;2.3;0.83
2.7;5.1;1.9;0.83
3.2;5.9;2.3;0.83
3.3;5.7;2.5;0.83
3.0;5.2;2.3;0.83
2.5;5.0;1.9;0.83
3.0;5.2;2.0;0.83
3.4;5.4;2.3;0.83
3.0;5.1;1.8;0.83
